Time,Temperature,1.5uM,7.5uM,15uM,50uM,100uM,150uM
00,26,1572209,1622956,6184717,13453923,25826804,34871632
10,26,1599427,1595155,6287621,13725677,26231850,35394516
15,26,1627762,1598918,6340360,13780703,26475150,35678440
20,26,1632075,1599813,6418333,13956531,26725376,35946632
25,26,1644503,1624330,6447944,14005808,26858206,36075976
30,26,1662190,1633860,6525592,14177800,27094734,36363936
40,26,1647986,1656605,6578978,14239035,27096060,36469248
45,26,1683382,1674029,6665261,14364201,27468030,36939064
50,26,1667690,1694471,6653973,14421472,27564162,37258324
55,26,1681970,1682488,6735751,14546665,27698142,37428020
59,26,1714608,1712908,6766422,14618882,27962842,37566332
64,26,1700326,1701104,6828566,14646749,28057228,37807684
69,26,1687205,1687312,6906800,14720666,28078784,37971972